"mt_id","rt","correct","response","correct_response","button_order","stimulus","included","too_slow","too_fast","not_fullscreen","out_of_bounds"
1,1148,TRUE,"WHITE","WHITE","[""WHITE"",""BLACK""]","w1",TRUE,FALSE,FALSE,FALSE,FALSE
2,1347,TRUE,"BLACK","BLACK","[""WHITE"",""BLACK""]","b2",FALSE,FALSE,FALSE,TRUE,FALSE
3,1110,TRUE,"BLACK","BLACK","[""WHITE"",""BLACK""]","b4",TRUE,FALSE,FALSE,FALSE,FALSE
